jsonl_name,HR@1,NDCG@1,HR@3,NDCG@3,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
FS-SFT,0.019367,0.019367,0.026548,0.023570,0.028615,0.024436,0.031226,0.025278,0.032967,0.025725
FS-SFT+DPO,0.020346,0.020346,0.026548,0.024017,0.029268,0.025140,0.031553,0.025893,0.032641,0.026173
FS-SFT+R-SFT,0.020455,0.020455,0.027745,0.024712,0.029812,0.025569,0.032205,0.026345,0.034490,0.026922
FS-SFT+R-SFT+DPO,0.021652,0.021652,0.027962,0.025320,0.029812,0.026069,0.032532,0.026947,0.033837,0.027291
FS-SFT+R-SFT param1,0.020372,0.020372,0.027418,0.024601,0.029277,0.025511,0.031778,0.026210,0.033946,0.026859
FS-SFT+R-SFT param2,0.020128,0.020128,0.026874,0.024360,0.029485,0.024756,0.032205,0.025880,0.034381,0.026380
