jsonl_name,HR@1,NDCG@1,HR@3,NDCG@3,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
FS-SFT,0.019884,0.019884,0.027746,0.024481,0.030058,0.025416,0.031214,0.025802,0.031908,0.025972
FS-SFT+DPO,0.018035,0.018035,0.024509,0.021877,0.027283,0.023021,0.029595,0.023820,0.030289,0.023998
FS-SFT+R-SFT,0.020809,0.020809,0.027952,0.024913,0.030520,0.026057,0.032139,0.026599,0.033295,0.026908
FS-SFT+R-SFT+DPO,0.021272,0.021272,0.028208,0.025406,0.030751,0.026471,0.032243,0.026900,0.033389,0.027200
FS-SFT+R-SFT param1,0.020347,0.020347,0.027639,0.024913,0.030383,0.025937,0.031901,0.026401,0.033064,0.026730
FS-SFT+R-SFT param2,0.019191,0.019191,0.026821,0.023793,0.030058,0.025167,0.032832,0.026077,0.034913,0.026616
